title,jobdesc,code,matched_title
Warehouse Associate,"We are currently seeking a Warehouse Associate at our Manassas, VA branch to receive, store, and distribute material, equipment, and products within warehouse and branch by performing the following duties: Provide quality service to customers using clear communication skills.Be knowledgeable regarding all Company products and services.Count, verify and manually unload incoming orders and shipments.Utilize a forklift for moving inventoryVerify and manually load orders on outgoing trucks.Verify and manually load outgoing orders onto customer vehicles.General yard and office maintenance to include cleaning and painting.Maintain neatness and cleanliness of warehouse.Maintain inventory in appropriate/designated storage areas in warehouse.Perform other duties as assigned by management.The Ideal Candidate Will Have:Must have some experience with warehouse, forklift, or other machineryPrefer high school graduate or GEDAbility to lift up to 100 pounds.Operation of forklift.Team player with good customer service skills.Ability to read, speak and write the English language.Must have reliable transportation to work each day.Must be able to physically and safely deliver products on roof.An Equal Opportunity Employerwww.becn.com",53-7062.00,Warehouse Associate
Supply Chain Associate II,"For 70 years, Charles River employees have worked together to assist in the discovery, development and safe manufacture of new drug therapies. When you join our family, you will have a significant impact on the health and well-being of people across the globe. Whether your background is in life sciences, finance, IT, sales or another area, your skills will play an important role in the work we perform. In return, we’ll help you build a career that you can feel passionate about.Job Summary The Supply Chain Associate II receives materials, ensures proper documentation of FEFO, MDS and MOS. Tracks overdue material. Adheres to cGMP compliance. Interacts with Manufacturing and QA/QC Departments for GMP materials release.  Essential Responsibilities:•    Receive controlled materials following established procedures. Ensure all materials are received and stored in controlled materials storage locations to ensure cGMP compliance.•    Receive all materials and deliver received shipment to recipients each day.•    Follow Good Manufacturing Practices (GMPs) and Standard Operating Procedures (SOPs) in daily activities across all three Vigene sites.•    Distribute controlled materials to manufacturing following FEFO and complete the required documentation as the materials are picked and distributed. Ensure all expired materials from Inventory are identified each month and discarded following SOP.•    Complete MSD’s and MOS or any other QC required forms.•    Assist Sr. Supply Chain Associate with inventory. Help with yearly cycle counting.•    Tracking of overdue materials. Work with procurement to successfully resolve the documentation required and request certificates or any other required documentation with Suppliers.•    Back-up Sr. Supply Chain Associate with picking and staging GMP materials requested by Manufacturing, tech transfer, Plasmid, or other departments.•    Assist in the training of support staff.Job Qualifications •    High School Diploma required. •    2+ years of GMP experience required.•    Knowledge of inventory management systems and understanding of Good Manufacturing Practices in Supply Chain/Manufacturing areas.•    Possess excellent communication and organizational skills.•    Microsoft Office experience (Word, Excel, PowerPoint, Teams etc.)•    Must be able to work flexible hours – must be willing to work outside of normally-scheduled hours as necessary.•    Serve as a backup as needed to drive company vehicle between sites in the Rockville area with valid driver’s license.Vaccine MandateCharles River is a U.S. Federal Contractor.  As a result, we must follow the Presidential Executive Order to mandate vaccinations, and ensure our employees are fully vaccinated against COVID-19.  Our main priority is the wellbeing, health, and safety of our people. We require proof of vaccination from all employees. Anyone with requests for disability-related and/or religious exemptions should contact Talent Acquisition (crrecruitment_US@crl.com) so that information can be provided about the accommodation process at Charles River. About Biologics Testing SolutionsWith more than 50 years of experience and proven regulatory expertise, the Charles River Biologics group can address challenging projects for biotechnology and pharmaceutical companies worldwide. Offering a variety of services such as contamination and impurity testing, protein characterization, bioassays, viral clearance studies and stability and lot release programs, we support clients throughout the biologic development cycle, from the establishment and characterization of cell banks through preclinical and clinical studies to marketed products. Whether clients need stand-alone services, a unique package of testing, or insourced support, our Biologics group can create a custom solution to suit their needs.  Each year more than 20,000 biologic testing reports are sent each and over 200 licenses products are supported by our biologics testing solutions team.About Charles RiverCharles River is an early-stage contract research organization (CRO). We have built upon our foundation of laboratory animal medicine and science to develop a diverse portfolio of discovery and safety assessment services, both Good Laboratory Practice (GLP) and non-GLP, to support clients from target identification through preclinical development. Charles River also provides a suite of products and services to support our clients’ clinical laboratory testing needs and manufacturing activities. Utilizing this broad portfolio of products and services enables our clients to create a more flexible drug development model, which reduces their costs, enhances their productivity and effectiveness to increase speed to market.With over 18,000 employees within 100 facilities in over 20 countries around the globe, we are strategically positioned to coordinate worldwide resources and apply multidisciplinary perspectives in resolving our client’s unique challenges. Our client base includes global pharmaceutical companies, biotechnology companies, government agencies and hospitals and academic institutions around the world. At Charles River, we are passionate about our role in improving the quality of people’s lives. Our mission, our excellent science and our strong sense of purpose guide us in all that we do, and we approach each day with the knowledge that our work helps to improve the health and well-being of many across the globe. We have proudly supported the development of &gt;80% of the drugs approved by the FDA for the past 3 years.Equal Employment OpportunityCharles River Laboratories is an Equal Opportunity Employer - all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. If you are interested in applying to Charles River Laboratories and need special assistance or an accommodation due to a disability to complete any forms or to otherwise participate in the resume submission process, please contact a member of our Human Resources team by sending an e-mail message to crrecruitment_US@crl.com. This contact is for accommodation requests for individuals with disabilities only and cannot be used to inquire about the status of applications. For more information, please visit www.criver.com.",13-1081.02,Supply Chain Specialist
Azure DevOps Engineer,"Looking for an individual who will be responsible for automating the application build and release pipeline as well as ensuring uptime for various projects and environments. The primary focus will be on automating the source code lifecycle from development through distribution. This role will also provide development and operational technical support, rotating on-call, project participation, and continuity support for the applications. The candidate will also participate in detection and troubleshooting of issues that affect delivery of our services across multiple platforms A comprehensive understanding of UnixLinux shell scripting, Windows environment and Oracle operations is required. Experience with Tandem is desired. Responsibilities include  bull Implement tools and automation for build, configuration management, continuous integration (CI), static and dynamic code analysis, deployment and application monitoring. Automate and evolve infrastructure, server, deployment strategies and testing to support and quick turnaround of deployments. bull Work with Development at all levels to assist with implementing CICD pipelines for all Services applications. bull Work closely with Monitoring Engineering to ensure all relevant KPIrsquos are implemented within the monitoring framework. bull Participate in all Production Support activities during incidents and outages as needed. Hands-on technical resource capable of resolving all technical issues within lower and upper environments, and making recommendation for performance and capacity improvements bull Continuously improve our infrastructure to be easy to deploy, scalable, secure and fault-tolerant. Participate in capacity planning, tuning systems stability, provisioning, performance, and scaling of the application infrastructure. bull Participate in on-call rotation  Basic Qualifications for Consideration  bull BS degree in Computer Science or equivalent experience bull Minimum of 6+ years of relevant, broad engineering experience is required. bull Works effectively both independently and as a member of a cross functional team bull An obsessive desire to automate as much as possible bull Experience in an agile development environment bull Experience with Azure DevOps andor TFS bull 4+ yearsrsquo experience with Linux and Unix systems bull 4+ yearsrsquo experience with Windows systems bull 3+ yearsrsquo experience supporting services, micro-services, and n-tier systems bull 4+ yearsrsquo experience with scripting languages such as Bash, Python, Perl bull 4+ yearsrsquo experience with software automation technologies bull 4+ yearsrsquo experience with Continuous Integration  Continuous Delivery practices bull 4+ yearsrsquo experience with Infrastructure-As-Code practices bull 4+ yearsrsquo experience with Configuration Management tools such as Ansible, Salt, Chef, Puppet bull 4+ yearsrsquo experience with build tools such as Jenkins, Maven, Ivy, Ant bull 4+ yearsrsquo experience with Version Control tools and platforms such as Git, GitHub, Subversion bull 4+ yearsrsquo experience with Collaboration platforms such as JIRA, Confluence, Wiki, Version one bull 4+ yearsrsquo experience with Containerization technologies such as Docker, Pivotal bull 4 yearsrsquo experience with Virtualization technologies such as KVM, Xen, VMWare bull 4+ yearsrsquo experience with Services such as Apache, NGINX, HAProxy, Varnish, PHP, Tomcat, Node.js, MySQL, MariaDB  Experience with the Tandem non-stop platforms is a plus",15-1252.00,DevOps Engineer
Salesforce Administrator: REMOTE,"Salesforce Administrator: REMOTE – C-4 AnalyticsC-4 Analytics is a fast-growing, private, digital marketing company that excels at helping automotive dealerships increase sales, increase market share, and lower cost per acquisition. We are currently hiring for a Salesforce Administrator: REMOTE, as we look to expand our team and support our growing roster of local and national clients.Who We're Looking For: Salesforce Administrator - REMOTEYou are eager, curious, Salesforce master who understands sales process needs, you have strong communication skills and have a love of organization and teamwork including outreach to sales team members and communication with many different personalities. Love of the automotive industry is a definite plus, as we are a leader in that space.As Salesforce Administrator, you'll be part of a strong sales support team responsible for supporting the larger sales team on all needs required to keep the sales process running smoothly. You will have a significant, measurable impact on the company's sales process and overall sales success.A day in the life of a Salesforce Administrator: REMOTEWork closely with the Chief Sales Officer, other executives and sales operations team members to implement and manage critical sales related processesComplete responsibility for the Salesforce.com system, and additional application integrations (Salesloft, Pardot, Outreach, Zoom Info, etc.)Working closely with the Marketing Team to configure Pardot and develop best practicesProvide reporting and dashboards as requested by leadershipHandle system architecture and design to meet business needsResponsible for high data integrity in SalesforceEnsuring optimal performance of Salesforce systems and productsUpgrading and configuring Salesforce systems and productsManaging Salesforce roles, profiles, sharing rules, workflows, and groupsPerforming database maintenance tasks, including diagnostic tests and duplicate entry cleansingEvaluating and installing new Salesforce releases, as well as providing training and supportDocumenting processes, including error reports and changes to field history tablesThis is a fast-paced role with a rapidly growing company. Communication skills (verbal and written), the ability to work in an interrupt-drive environment, multi-tasking, organization, and collaborative skills are prerequisites for success. The Salesforce Administrator must be comfortable leading others, directing others, and working within a highly visible position.Requirements:Bachelor's degree in Computer Science, Management Information Systems, or related fieldSalesforce certified administrator or Salesforce advanced administrator certification2-3 years of experience as a Salesforce administrator in a similar environment Extensive experience in the administration and maintenance of Salesforce systemsProficient with all aspects of Salesforce and Salesforce integrationsExperience in converting historical Salesforce Classic Automations and validation rules to Lightning using Flows and Process BuilderExcellent interpersonal and customer service skillsExcellent organizational skills and attention to detailStrong analytical and problem-solving skillsC-4 Analytics is a full-service advertising and digital marketing company committed to developing innovative solutions for every dealer in every market, and to providing the highest levels of accountability and customer service. Key details about our company include:We have 200-plus employees across Client Services, SEO/Content, Paid Search, Creative, Social Media, Product, Sales and Operations teamsWe specialize in automotive digital marketing, and the rest of the industry follows our leadWe have three main offices: our headquarters in Wakefield, MA, and offices in Chicago, IL and Ann Arbor, MIEmployee Perks & Bragging RightsCompetitive salaries and benefits packages, including 401k matchHands-on training opportunities with leading companies like Google and FacebookWeekly Innovation Hours and Lunch-and-Learns for employee development8-time National Best and Brightest Places to Work For WinnerAgency-wide volunteer days and company-sponsored team outingsBest-in-industry client-to-employee ratioWhat our Employees Say:Want to know what makes working at C-4 Analytics so rewarding? Take it from the true experts: our current teammates. Recent surveys about our workplace and culture suggest that our staff loves:The People: It's not just a cliché; we have the best, hungriest and smartest team in the business.The Culture: Teamwork. Camaraderie. Perseverance. We hire for these traits, and it shows.The Growth: We place a real emphasis on training, development and career planning.The Trust: Our managers empower their people and teams to thrive in their own ways.The Challenge: We work in a competitive industry and a dynamic field. You'll never be bored!More About C-4 AnalyticsC-4 Analytics is a full-service advertising and digital marketing company. We take the guesswork out of advertising. We don’t over-promise: we over-deliver. We provide real value to our clients because we really value them as partners. We love Google and Facebook, but also love Instagram and Bing. We innovate, educate and instigate. We are forward-thinking, but we learn from the past. We are results-driven and our strategies drive results. We love the practical applications of psychology to marketing, but we aren’t above a good practical joke. We are team players, but we love to crush our competitors. We create an environment of respect and we respect the environment. We are the brains and the good looks. We are very humble. We are nerds, but cool, likeable nerds. We are never gonna give you up. Never gonna let you down. We are all work and all play. We calculated that only 15.8% of visitors who started this paragraph would actually read this far down. We are C-4 Analytics.Want to know more? Want to become part our of SalesOps team? Ready to step up to the challenge? Send us your resume, along with a brief introduction explaining how you can help us continue to grow and deliver the highest level of client service.Powered by JazzHR3md273awV2",15-1299.05,IT Administrator (Information Technology Administrator)
Floor Care,"DescriptionHCR ManorCare provides a range of services, including skilled nursing care, assisted living, post-acute medical and rehabilitation care, hospice care, home health care and rehabilitation therapy.The floor care position is responsible for total floor care including wash, seal, wax and buff all floors at the nursing facility.In return for your expertise, you'll enjoy excellent training, industry-leading benefits and unlimited opportunities to learn and grow. Be a part of the team leading the nation in healthcare.Location546 - ProMedica Skilled Nursing and Rehabilitation - Lely Palms, FLEducational RequirementsHigh school diploma requiredPosition RequirementsTraining and/or expertise qualifying the individual to operate floor care equipment and perform assigned duties related to floor care within the nursing facility.",37-2011.00,Floor Care
FT/PT LPN - $34+/hr Plus Bonuses!,"It's time to take control of your career! When you join the ShiftMed team, you can browse through 100+ shifts from local nursing homes and skilled nursing facilities needing full-time and part-time Licensed Practical Nurses. Not only can you build your own schedule through ShiftMed, but you can get higher wages and benefits directly with us!    How to get started with ShiftMed: 1) Complete a brief application that includes your name, city, state, and zip to get started.2) Download the app, create your account, and securely upload your documents for verification.  3) All shifts are available! Browse hundreds of shifts at local care providers to find the best match.     4) Get paid! You work as a full-time employee for ShiftMed when picking up shifts with us, not a contractor. Enjoy weekly pay at 20% more than local hourly rates. Here's what we have to offer you:* Next Day Pay! (no fee)* Guaranteed Shifts (which means guaranteed pay!) * Competitive Pay  * Full-time and Part-time Work * Flexible Contracts * Paid Sick Days * Overtime Pay * Direct Deposit * Self-Scheduled Shifts * 24/7 Team Support * Healthcare * Ride Assistance * Incentive Bonus Programs * Holiday Promotional Contests * And Much More!  ShiftMed Licensed Practical Nurse (LPN) Requirements:  * Must have LPN license in good standing in the state in which applying   * Must have at least 6 months experience working in a long-term care facility  * Demonstrates caring and compassionate nature  * Must possess supervisory skills  * Candidate must have a positive outlook and problem-solving skills  * Must be able to push, pull, move and/or lift a minimum of 50 pounds to a minimum height of 3 feet  * Must be able to assist with transfer and positioning of residents  Responsibilities: * The LPN performs ongoing assessment and observation of the residents to ensure that the residents remain at their optimum level of health  * Dispensing and recording of all medications accurately and according to policy and procedures  * Carrying out all orders prescribed by the physician accurately, ensuring that all meds and equipment are available in a timely manner  * The LPN delegates responsibility to nurses aides and monitors the care delivered by the aides, ensuring that all care is being delivered to all the residents appropriately  * The LPN must be able to fulfill all responsibilities and duties of the job description as posted Apply today to become a ShiftMed employee and start working as soon as this week!_____________ShiftMed is committed to offering nurses a platform that helps them build a flexible schedule by bringing together hundreds of shifts to choose from. Rates offered may differ based on the location of assisted living, skilled nursing facilities, and hospitals that we've partnered up with. All advertised rates reflect the average wages ShiftMed's partner facilities are currently offering. Hourly rates fluctuate throughout each week depending on the facility you schedule shifts with.SMLPNNEW2by Jobble",29-1141.00,Post Anesthesia Care Unit Nurse (PACU Nurse)
Nurse Practitioner,"Per Assessment Nurse Practitioner House Calls Maverick County, TX Requisition Number: 2043216 Job Category: Healthcare Delivery Primary Location: Eagle Pass, TX Apply Back to Search Results Additional Job Detail Information Requisition Number 2043216 Business Segment Optum Care Solutions Employee Status Temporary Job Level Individual Contributor Travel No Additional Locations San Antonio, TX, US Overtime Status Non-exempt Schedule Part-time Shift Day Job Telecommuter Position No",29-1141.02,Nurse Practitioner
Panel Wirers - FlexCell,"Acara Solutions is seeking experienced electrical assemblers for a temp-to-perm opportunity in Grand Prairie, Texas 75050. Positions will train on 1st shfit (730a - 330p) for at least 1 month before moving to 2nd shift (330p - 1130p)Rates range from 15.75 - 18.61, plus .60 shift differential upon moving to 2nd, based on relevant experienceThis is a temp-to-perm opportunity with a Union employer. 6 months Firm conversion. This client does not currently have a vaccine mandate. Entry level and experienced candidates encouraged to apply!Interviews will be held on Tuesday, March 1st 1pm - 4pm onsite, with offers to be next-day!  Performs a wide variety of routine manufacturing functions in one or more of the following areas: 1. Electronic or electro-mechanical assembly operations on assemblies or sub-assemblies 2. the set-up, calibration, testing and troubleshooting of circuits, components, instruments and mechanical assemblies 3. Manufacturing equipment operation. Weigh, measure and check raw materials to ensure that batches manufactured contain proper ingredients in proper quantities 4. Performs incoming, raw material and final mfg inspection and/or audits of quality control programs 5. Set up, mix, receive, store and deliver and dispense production chemicals. Assists with routine repair and retest products. May assist with rework on assemblies and/or systems as a result of testing. Assists with in-process tests (such as hardness, weight, variation, pH and moisture content) to ensure that batches meet specifications. Assists in resolving routine manufacturing related problems affecting daily operations.Required Skills / Qualifications:High School diploma or GED Required   Preferred Skills / Qualifications:  Cell phone assembly experience Minimum 2 years experience in manufacturing assembly  Additional Information: Selected applicants will be required to pass a background investigation consisting of Criminal, Education/Employment verification, Drug screening and Safety testing in English prior to start. Aleron companies (Acara Solutions, Aleron Shared Resources, Broadleaf Results, Lume Strategies, TalentRise, Viaduct, and Aleron's strategic partner, SDI) are Equal Employment Opportunity and Affirmative Action Employers. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity, sexual orientation, national origin, genetic information, sex, age, disability, veteran status, or any other legally protected basis. The Aleron companies welcome and encourage applications from diverse candidates, including people with disabilities. Accommodations are available upon request for applicants taking part in all aspects of the selection process.Applicants for this position must be legally authorized to work in the United States. This position does not meet the employment requirements for individuals with F-1 OPT STEM work authorization status.",51-8093.00,Control Panel Wirer
Hair Stylist - Shoppers Plaza,"Great Clips salon owners are hiring hair stylists! Be one of the GREATS!Make money right away with competitive compensation structures and a guaranteed wageReceive incentives and recognition for a job well doneCut hair for an immediate customer baseGet ongoing training and career advancementWork flexible schedulesLearn the latest trends and advanced skillsBe a part of a team who supports one another and has fun at work Additional benefits may be included and vary by locationAt Great Clips, we know that stylists like you are most happy when they're cutting hair, so at a Great Clips salon, that's exactly what you get to do! Want to be the best stylist in town? At a Great Clips salon, that can happen. Want to be a salon manager or trainer or a member of an artistic design team? Yep, at a Great Clips salon, you can make that happen, too.Sounds good, right? Then the salon owner wants to hear from you! Do what you love doing with a great brand. Join a Great Clips salon team today.Requirements: Cosmetology and/or barber license (licensing requirements vary by state/province)",39-5012.00,Hair Stylist
Systems Manager III - Lead (Remote),"Job DescriptionAmerican Homes 4 RentAs one of the country’s fastest-growing property management companies of single-family rental homes, American Homes 4 Rent has an exhilarating and fluid start-up culture and permanency of a well-founded corporation, rich with diversity. As pioneers in the industry, solidified by our place on Wall Street, American Homes 4 Rent (NYSE: AMH) is currently looking for qualified candidates. With a culture of unprecedented growth, quality, and innovative collaboration, we are seeking personalities to complement our attributes.The Systems Manager is responsible ensuring operational performance and maintaining a healthy state of system applications. This includes designing, analyzing and implementing the future state strategy for role-based access and asset provisioning.Responsibilities:Manages, maintains, and implements applications and systems including support of infrastructure such as servers and networking. Troubleshooting of incidents related to the application that are escalated from operations, this could include access rights, passwords and connectivity problems.Assist with technical and project related artifacts for deployments and enhancements to assigned applications. Sets up automation for repeatable processes within the area of assigned applications.Creates system documentation, procedures and policies. Keeps the documentation continuously up to date.Manages vendors during incidents, enhancements or maintenance of the application.Ensure compliance with all licensing for assigned application, this included continues tracking of the state of the licenses.Follows all organizational systems, programs, training, policies, and procedures as required and complies with relevant legal mandates. Seeks guidance as necessary.Requirements: Bachelor’s degree in Computer Science, Information Technology or from four-year college or university or an equivalent combination of education and experience.Minimum of 4 years’ experience within Information Technology Operations.Knowledge and experience in automation and testing.Knowledge in role-based provisioning.Experience in SaaS applications.Experience in Public Cloud technologies.Excellent problem-solving skills and solutions design.Must be able to lift:50 pounds to waist height50 pounds to shoulder height20 pounds above the headWork where you feel right at home –If you are a versatile professional who values culture, a concerted environment, and the potential for exponential growth, we want to work with you! Apply now and someone from our Talent Acquisition team will reach out to you soon!For positions that are permitted or required to work remotely, employees may conduct work only within the United States and only in states where the Company is already conducting business, unless for brief periods, consistent with Company policy.For employees in Colorado, the anticipated pay range is $82K to $118K.The Company also may provide benefits with this position including but not limited to: medical, dental, and vision insurance; Flexible Spending Accounts (FSUs) and/or Health Savings Accounts (HSAs); Dependent Savings Accounts; 401(k) plan with employer matching; employee stock purchase plan; and potential for bonuses. The above wage range is the Company’s current good faith expectation for this position. The actual amount paid and/or offered may be less or more than this range and will be based on factors including geographic location, education, training, or experience related to the work, seniority, merit, quantity and or quality of the work.Related Keywords:IT jobs, information technology jobs, computer science careers, system supervisor, systems director, IT manager jobs, IT management positions, IT careers, information technology careers, system managementInformation regarding AH4R’s collection and use of your personal information can be found at https://www.ah4r.com/employeeprivacy",11-3021.00,Systems Development Manager
